"layer","1enocephalus_sp","1enopus_sp","1erus_sp","aepyceros_sp","aethomys_cf_lavocati","afrochoerus_nicoli","agamidae_indet","alcelaphini_1","alcelaphini_2","alcelaphini_3","alcelaphini_indet","ancylotherium_cf_hennigi","antidorcus_sp","antilopini_indet","anura_indet","arvicanthus_niloticus","aves_indet","beatragus_antiquus","bitis_nasicornis","bitis_sp","boidae_indet","bovidae_indet","bovini_(small)_indet","bufo_sp","bufonidae_indet","canidae_indet","cecopithecoidea_kimeui","cephalopini_indet","ceratherium_simum","cf_acinony1_sp.","cf_cercocebus_sp.","cf_grammomys_sp.","cf_myona1_sanguineus","cf_steatomys_sp.","chamaeleontidae_indet","chelonia_indet","cichlidae_indet","clarias_sp","colobinae_indet","colubridae_indet","crocidura_cf_hindei","crocodylus_niloticus","crocodylus_sp","crocodylus_spnov.","crocuta_aff_ultra","crocuta_crocuta","crocuta_sp","damaliscus_agelaius","damaliscus_angusticornis","damaliscus_niro","dasymus_incomptus","deinotherium_cf_bozasi","dendromys_sp","diceros_bicornis","ectopotamochoerus_dubius","elapidae_indet","elephantulus_sp","elephas_recki_(early from)","elephas_recki_(evolved form)","equus_cf_oldowayensis","erinaceus_cf_major","felidae_indet","felis_cf_serval","galago_senegalensis","galago_sp","gazella_sp","gazella_wellsi","gazellini_sp","genetta_sp","gerbillus_sp","giraffa_gracilis","giraffa_jumae","giraffa_sp","giraffa_stillei","gorgon_olduvaiensis","herpestes_sp","herpestinae_indet","heterocephalus_sp","hipparion_cf_ethiopicum","hippopotamus_gorgops","hippopotamus_sp","hippotragini_indet","hippotragus_gigas","hyaenidae_indet","hystri1_sp","insectivora_indet","jaculus_sp","kobus_ellipsiprymnus","kobus_kob","kobus_sigmoidalis","kobus_sp","kolpochoerus_limnetes","kolpochoerus_major","lagomorpha_indet","libytherium_olduvaiensis","lutra_sp","lutrinae_indet","machairodontinae_indet","macroscelididae_indet","magadermidae_indet","mastomys_natalensis","mastomys_sp","mesochoerus_heseloni","mesochoerus_olduvaiensis","metridiochoerus_compactus","metridiochoerus_modestus","mungos_dietrichi","mungos_sp","muridae_various","myosore1_cf_robinsoni","naja_sp","nasilio_sp","neotragini_indet","notochoerus_compactus","notochoerus_euilus","notochoerus_sp","okapia_sp","orthostony1_brachyops","ory1_sp","otocyon_recki","otomys_kempi","otomys_sp","panthera_cf_tigris","panthera_sp","papio_sp","papionini_indet","parmularius_altidens","parmularius_rugosus","pedetes_sp","pelorovis_antiquus","pelorovis_oldowayensis","pelusios_eastaneus","phacochoerus_antiquus","phenacotragus_recki","phoenicopteridae_indet","pipidae_indet","potamochoerus_intermedius","potamochoerus_majus","primates_indet","procavidae_indet","promesochoerus_mukiri","pronotochoerus_cf_jacksoni","pseudocivetictis_ingens","ptychadena_sp","pultiphagonides_africanus","python_sp","rabaticeras_arambourgi","rana_sp","ranidae_indet","redunca_sp","reduncini_indet","saccostomus_sp","scincidae_indet","serengetilagus_sp","simopithecus_cf_oswaldi","sivatherium_maurusium","strepsicerotini_indet","struthio_sp","stylohipparion_sp","suidae_indet","suncus_cf_li1us","suncus_cf_orangiae","suncus_sp","syncerus_aceolatus","tapinochoerus_meadowsi","tapinochoerus_sp","tatera_sp","taurotragus_cf_arkelli","thalomys_sp","thos_mesomelas","tilapia_sp","tragelaphus_sp","tragelaphus_strepsiceros_grandis","tragelaphus_strepsiceros_maryanus","vespertilionidae_indet","viperidae_indet","viverridae_indet","zelotomys_leakeyi","age_ma"
"bed_1l",1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1.95
"bed_1m",0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1.848
"bed_1u",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1.831
"bed_2l",1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.75
"bed_2m",1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1.671
"bed_2u",1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1.51
"bed_3",0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.2
"bed_4l",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.05
"bed_4m",0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0.97
"bed_4u",0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0.85
